idx,src,t0,dur,ci,ct0,cdur,text
1,src_06,4.52,1.22,0,4.52,1.22,😀呃哎哎哎哎哎哎。
2,src_01,22.92,3.52,0,22.92,1.5,整活还得看咱家奶龙。😊
2,src_01,22.92,3.52,1,23.42,1.5,整活还得看咱家奶龙。😊
2,src_01,22.92,3.52,2,23.92,1.5,整活还得看咱家奶龙。😊
2,src_01,22.92,3.52,3,24.42,1.5,整活还得看咱家奶龙。😊
2,src_01,22.92,3.52,4,24.92,1.5,整活还得看咱家奶龙。😊
3,src_03,12.58,1.98,0,12.58,1.5,好不好啊？😊
4,src_09,17.44,0.92,0,17.44,0.92,难受。😊
5,src_08,11.3,1.86,0,11.3,1.5,不过朝月亮外三拜就没事了。😡
6,src_04,11.94,4.94,0,11.94,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,1,12.44,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,2,12.94,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,3,13.44,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,4,13.94,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,5,14.44,1.5,确实很像，你是不是饿了？😡
6,src_04,11.94,4.94,6,14.94,1.5,确实很像，你是不是饿了？😡
7,src_06,29.04,1.84,0,29.04,1.5,妈嘛连累我呀。😔
8,src_07,17.18,4.08,0,17.18,1.5,海龙啥都是。😡
8,src_07,17.18,4.08,1,17.68,1.5,海龙啥都是。😡
8,src_07,17.18,4.08,2,18.18,1.5,海龙啥都是。😡
8,src_07,17.18,4.08,3,18.68,1.5,海龙啥都是。😡
8,src_07,17.18,4.08,4,19.18,1.5,海龙啥都是。😡
8,src_07,17.18,4.08,5,19.68,1.5,海龙啥都是。😡
9,src_03,7.52,4.4,0,7.52,1.5,我能有多骄傲，不可一。😔
9,src_03,7.52,4.4,1,8.02,1.5,我能有多骄傲，不可一。😔
9,src_03,7.52,4.4,2,8.52,1.5,我能有多骄傲，不可一。😔
9,src_03,7.52,4.4,3,9.02,1.5,我能有多骄傲，不可一。😔
