file,src,t0,t1,dur,min_simA,text
src_05_3.54-7.82.wav,src_05,3.54,7.82,4.28,0.8147,小七，你给我做的。😡 / 怎么跟没血染一样啊？😡
src_03_0.12-7.34.wav,src_03,0.12,7.34,7.22,0.8107,嗯，森林下的雪。😮 / 你说那是保力奴小七。😡 / 你怎么被冻住了？😡
src_01_0.14-6.70.wav,src_01,0.14,6.70,6.56,0.7720,我就大肚嘟。 / 真的很酷酷。😊 / 今天的脊重。 / 依旧那么稳定呢。😡
src_06_14.22-22.22.wav,src_06,14.22,22.22,8.00,0.7588,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
src_01_11.74-17.58.wav,src_01,11.74,17.58,5.84,0.7545,我要减肥肥，我要变瘦瘦。😊 / 小狗把小鸡给我架起来。😡
src_08_0.12-7.76.wav,src_08,0.12,7.76,7.64,0.7543,小鸡弯弯的月亮像。 / 什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
src_05_22.58-27.92.wav,src_05,22.58,27.92,5.34,0.7050,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
src_09_2.12-9.74.wav,src_09,2.12,9.74,7.62,0.6965,小珍猪精啊，怎么这么凶啊？😮 / 还不是你偷了他的蛋，真小俊。😡 / 不就一个蛋吗。😡
src_03_18.44-26.12.wav,src_03,18.44,26.12,7.68,0.6567,哇，小气。 / 该喝药了，快快融化。😊 / 哇哦，再见再见。😮
src_08_11.30-19.08.wav,src_08,11.30,19.08,7.78,0.6409,不过朝月亮外三拜就没事了。😡 / 你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
src_04_9.54-16.88.wav,src_04,9.54,16.88,7.34,0.6283,你搬的好凶呀。😡 / 确实很像，你是不是饿了？😡
