idx,src,t0,t1,dur,visual_label,visual_class,redimnet_margin,eres2netv2_margin,ensemble_score,production_score,decision,text
1,src_06,4.52,5.62,1.22,,,0.014953,0.063344,0.033039,0.244426,auto_accept,😀呃哎哎哎哎哎哎。
2,src_01,22.92,26.32,3.52,0,other_speaker,-0.194399,-0.121263,-1.487647,-1.303504,confirmed_reject,整活还得看咱家奶龙。😊
3,src_03,12.58,14.44,1.98,0,other_speaker,-0.163169,-0.102296,-1.296735,-1.144465,confirmed_reject,好不好啊？😊
4,src_09,17.44,18.24,0.92,,,0.058285,0.029512,0.045755,-0.039256,review,难受。😊
5,src_08,11.30,13.04,1.86,,,-0.064637,-0.078097,-0.843835,-0.941555,auto_reject,不过朝月亮外三拜就没事了。😡
6,src_04,11.94,16.76,4.94,1,target,-0.020949,-0.038720,-0.522917,-0.611375,confirmed_target,确实很像，你是不是饿了？😡
7,src_06,29.04,30.76,1.84,,,-0.063775,-0.038178,-0.673402,-0.606838,review,妈嘛连累我呀。😔
8,src_07,17.18,21.14,4.08,,,-0.053996,0.007694,-0.446203,-0.222200,review,海龙啥都是。😡
9,src_03,7.52,11.80,4.40,0,other_speaker,-0.201497,-0.110603,-1.468272,-1.214121,confirmed_reject,我能有多骄傲，不可一。😔
10,src_09,9.74,11.14,1.52,,,-0.028875,-0.051285,-0.603868,-0.716736,review,您真大方。
11,src_08,22.90,24.10,1.32,,,0.100535,0.030210,0.199380,-0.033402,review,还是月饼啊。
12,src_06,24.88,27.28,2.52,,,0.127315,0.126486,0.698537,0.773875,auto_accept,给你扣个城堡不就好了吗？😔
13,src_03,2.92,5.62,2.82,,,0.158055,0.085280,0.635424,0.428360,auto_accept,你说那是保力奴小七。😡
14,src_02,6.88,8.00,1.24,,,-0.021999,0.030640,-0.235872,-0.029795,review,朵朵。
15,src_07,23.98,25.60,1.74,,,0.103066,0.110308,0.544218,0.638218,auto_accept,你才是奶龙。😡
16,src_03,44.76,45.64,1.00,,,-0.006324,-0.023294,-0.406084,-0.482034,review,嗯嗯嗯嗯嗯。
17,src_07,10.74,12.74,2.12,,,0.042626,0.098389,0.278669,0.538281,auto_accept,嗯。
18,src_08,13.92,18.96,5.16,,,0.116956,0.083871,0.482923,0.416548,auto_accept,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
19,src_04,18.34,19.74,1.52,1,target,0.068972,0.082650,0.306655,0.406310,confirmed_target,我我饿了。
20,src_09,19.28,20.94,1.78,,,0.033555,0.074705,0.147021,0.339690,auto_accept,你。
21,src_01,3.96,4.86,1.02,,,0.136897,0.159184,0.869798,1.048047,auto_accept,今天的脊重。
22,src_01,1.98,3.50,1.64,,,0.117327,0.043607,0.315443,0.078935,review,真的很酷酷。😊
