src,model,mode,sample_rate,channels,duration,source_sha256,vocals_sha256,no_vocals_sha256
src_01,htdemucs,two_stems_vocals,44100,2,26.411,c31ad09a7566b4abca1b34a52a18c5174af3905774ebbc9fb6c9939a1603e993,695bd2c3e73ecd39bf1fb8c989687622d511fddbf844086f5568f80f82cd6121,8c634cbea2a25736023ff6b4e229b686db9d485b2d400ee0c8799158cef76210
src_02,htdemucs,two_stems_vocals,44100,2,21.419,5bd47bc71f8b420849bed31b4917213574c4cba960616ed7002952f9d641211a,ce77f29f897aa7e004da34b03b64bd0901434b70745da55fdd301973c2ab4323,c7ababf2ce9bb9b547192694d0ec71a7b99c98f88a55960e84e9b17836f0368f
src_03,htdemucs,two_stems_vocals,44100,2,45.888,6de9dbab6717ef65ac27d15598b4243b280c16efa4e81fd9eecbef994c4c19a9,90c6edfabb75f32cde9261d321d9adbe2de2b2763ecb0d5715483805887ad2c6,421b288466e6c6f2275be7ca08c8939d1dc762741e8ec984ded692d28d37bf34
src_04,htdemucs,two_stems_vocals,44100,2,27.413,c76a2ac9f2b084e22b872ca5fbbdfae12bf257f2ed5e87855d4478bc60acfce1,4c76e26ef30c595691e03bea183c00b4dc7b73c5837f234d5e683baec2e51ac8,0fcd5185b517eebb936a38cbefb817e3a2602b1be4c639b00adab9aae931beb2
src_05,htdemucs,two_stems_vocals,44100,2,33.259,b5c34718089a4e0e1036973192222fa1c55baf8127c6947102ab8a5fabc1324c,e5ed4be52933d556d534b11f937ad2f9d9ecf4b73c7ac06d0dee5680184863fe,52b8c56c40579ea13782d2a21e72f735c596fa09d66148c8ca9a2ffb22165f72
src_06,htdemucs,two_stems_vocals,44100,2,32.363,398d2388c0442b514b66186ca851c1eed06c703240e5a2cf8e486b55cc76c82e,2f7e135a17ce09f2cc9bbdd6cdfa6449dc427fd89a27c76c673dd7a6e6d8b6a4,60525d6ff0d2cc50994489739916e81a5df44ab7e183ad0a3caf4646b671e1f6
src_07,htdemucs,two_stems_vocals,44100,2,27.648,6956ff93191f27a4cf1d79ab0251d74d2fca3e3a7142b85f78d8164c50d17642,f73b46b35c60f2d0225242c3fe6a6e399b3988e5ad31fe4068449c7b5b603ec1,c9498a4be51f9b9a981ca68dc45d1e002b5bc5e0adafc829e21b9ff1bf723423
src_08,htdemucs,two_stems_vocals,44100,2,31.509,38e369135a945dbcd28b7993525fecde65f9038725c05206eaf74612af55977a,50b70a638dcb3717db1841ef816dbb577d9f248be33f1bfcf9cf94bcfa5e2888,80d5a73a0ea3b7972d6395a98bcbe7368e0069ad931f9d7c7c9659a18d573dae
src_09,htdemucs,two_stems_vocals,44100,2,25.963,56e586e75efd998314a3ba23cf6e00fff392e2f06e443901696557837076661f,362a2975da974f71038c21388bf87a0d5ae0c9e6087f2fe81fa958cfac365f30,25dc5231f887dd48aef876f2cdcb9af2ed44f2a2ba078336cf0eeff61207c213
src_10,htdemucs,two_stems_vocals,44100,2,46.254,4707041060aeea2f68b77088b61f6aadf08783848bfef03378624a657e94b03b,57ebb114300b7dcef7124767cc1d1af2ece17e1cb503566c62ab926fbec1b009,1518c59f2b06f8d52b74e324eb2f5f1897a95939575ec43c57fe11afed956dd1
src_11,htdemucs,two_stems_vocals,44100,2,45.976,71369fa859b00f95b1ca88b16ec0647d84468b7139faf032ab075f66b3e57e0e,7d0701955ad886f0ee8a34067150d32b06c39bd19e5d0665b93d81f89bd0cbd6,247aa5e85541e0515c1ee114ad7c8e59aa8ab47146facd23fbaddc88e0e2055c
src_12,htdemucs,two_stems_vocals,44100,2,26.239,704a78d38aecdc22802a9363ad96008dea8c715eeb5d802d417b15134b10c04e,3144978b189cbed138c340907ae92ee3dae63dc9eba6aa02b4e0d43d8a74066b,c1bc829e2e66ac61b37ef3b5d252ea0eb61380eddfe42a22989d29791bb7ca97
src_13,htdemucs,two_stems_vocals,44100,2,32.996,6de85bc434340e9966fda04fecc571fbcadb87b7ae8ea4f540d05b979ce2d216,07501936dc15a9088712935bd19146f9ee1ab5ecd0868c2160aa3041d781fe85,c2a50f9df6d6727fbba818bdfeec1598debd49407d046a1486fa402be0c72b70
src_14,htdemucs,two_stems_vocals,44100,2,59.118,b3d5fdf0ae289bc8b769dba768765ce53df01e1a89f9568624511e6a8c2a1ef2,3b812d0667a297f9fc12ee7f77915cac041a8381ceb3ffd42da11b2face37d86,143c38e2fefc2d62e7b15c4ef265fc1c52e09ae685b6935444e4c1543f54a3ed
src_15,htdemucs,two_stems_vocals,44100,2,33.599,2662ed8bc939ecb333ec4d2f7ca9a2ed05508ee58bfa2379ba550f73e9970134,0efc85fd7018b6b8df919e53377203719d533d99ca600d4e34087c32e59272f0,6e2e59ca92766e14e8eb3b2070c6282062e0e3f232764e63734af8c6cfc436f5
src_16,htdemucs,two_stems_vocals,44100,2,46.301,af255cd498e0a96fbe37b6d53d9cf46e576c480242de902306ee48ee3a9fddda,8d4269213bc2f9ce5d2394b5623cee7b2ecce8be5a5f386a6ef3e326540dcfe1,d519ff651a53f9690ee386a3137e9b2892f16ae38e671f3b6ac804bbc515b974
src_17,htdemucs,two_stems_vocals,44100,2,25.844,a736e1fb3aa6f023c21fc9a0156b84371e18e534a183a34d2bce8e153e278004,8df2c5af24bdfc17c4b4a5ace7b773302a5f44080b7d0f391020b2fb8a814701,247650dadaf2e2612ddddf0f8e4338f88f6b38ef386ba558befed48b2effcd7d
src_18,htdemucs,two_stems_vocals,44100,2,59.025,02874b58280bbf9fb8f783895f5d31b34b6ad80b1e57eac078f0060c0c24f015,285a6260aab25e39eba475658d89e32404dd7caa2091a49372e34d1f3008e84e,d3df839beecb3fbe68f11be4bbc9c4d29945b52752a9292ec73e1d48562d31b3
src_19,htdemucs,two_stems_vocals,44100,2,17.903,50fb5152a4cb3ec519904daaf4cfcef5f02c8e8b5a03e360b580c6509e678def,98ab512019cd7c9b8c33cf8167806cf0bdb390d6a918019bd99934ceb9a53c85,33ac60f7f8fc8e027e473edc21217ed221c6128710b80d3c39e1bb42f5d5fdb6
src_20,htdemucs,two_stems_vocals,44100,2,27.492,96a21e17777aeb386667ffdb058066cda96b217e29daa601fe98d6b998c6bbb4,bf3339b9c83945efa7d701c8be1cfd3eaa00e85eb51b3a8ac45ceb4a2aac31e6,c8e944c0610d6f61cf825267d89576987322c95a813b2500808bacb1ce8a0067
src_21,htdemucs,two_stems_vocals,44100,2,16.486,d1bc5d5d1e782b53a0cdeaeab64955019d12d59ef05b1e05354b3d3ae8d2f473,e881c15b909a3774327bc399f0a3fece4eb49e0bd1621bbb660bf9510ee417bb,4bb5a3d063857a515e15326f3d6f570bb2c1f8d34ab8f31a73cb04d5c2e7616e
src_22,htdemucs,two_stems_vocals,44100,2,20.039,5df63bc8ecce9e7417d239111f99f4d07b625391d9ba3e0e33c7a4ca5509979f,8d2edf1ce6354af58f750c00502d5aaf174a5125c8dda80b6e13ea047dd778bf,f31b3bee274d30d64906bce2167ce1e7f295c5ca4dc8a2e9283753b4d7506996
src_23,htdemucs,two_stems_vocals,44100,2,57.493,53a3ade961fd6e7cd39421360252cab5bce9620959de66f5eae4a495492f0ec8,8ed9e8b746b8e5f8b180ac31ce14039d542483e23c47e1505ad21c0426394f2d,41f04bacf2c98979cafb6eec440a5f5c08d439196fd052d30ed46a70651f2c34
src_24,htdemucs,two_stems_vocals,44100,2,23.266,772750e6602d6541a1792c0ce5b19c4ae33ce74b647956d144177770839967ce,4d956d3ab7df9bff6cd69a130f89fe77fb0449e202de6e453daf96e86fdbcc7f,eeca9cd0f58fe201c349447161f63f6502fc611ef3e3fb9997971a2e8b8f8bb2
src_25,htdemucs,two_stems_vocals,44100,2,59.072,fe8834ab863d19c47453c04903033f3f282d9e930b15c2ddc26a10b1c3adea11,cce41115c0bc716e05ba39d43a97168c4aa54dd33911e6e9fbf7a319d98fd535,43e48dcf6a1e901774f623b3bc350381de4e0b0e245805b222e05826f4aade74
