idx,src,t0,dur,event,emotion,text
1,src_06,4.52,1.22,Laughter,-,😀呃哎哎哎哎哎哎。
2,src_01,22.92,3.52,Speech,HAPPY,整活还得看咱家奶龙。😊
3,src_03,12.58,1.98,Speech,HAPPY,好不好啊？😊
4,src_09,17.44,0.92,Speech,HAPPY,难受。😊
5,src_08,11.30,1.86,Speech,ANGRY,不过朝月亮外三拜就没事了。😡
6,src_04,11.94,4.94,Speech,ANGRY,确实很像，你是不是饿了？😡
7,src_06,29.04,1.84,Speech,SAD,妈嘛连累我呀。😔
8,src_07,17.18,4.08,Speech,ANGRY,海龙啥都是。😡
9,src_03,7.52,4.40,Speech,SAD,我能有多骄傲，不可一。😔
10,src_09,9.74,1.52,Speech,NEUTRAL,您真大方。
11,src_08,22.90,1.32,Speech,-,还是月饼啊。
12,src_06,24.88,2.52,Speech,SAD,给你扣个城堡不就好了吗？😔
13,src_03,2.92,2.82,Speech,ANGRY,你说那是保力奴小七。😡
14,src_02,6.88,1.24,Speech,-,朵朵。
15,src_07,23.98,1.74,Speech,ANGRY,你才是奶龙。😡
16,src_03,44.76,1.00,Speech,-,嗯嗯嗯嗯嗯。
17,src_07,10.74,2.12,Speech,-,嗯。
18,src_08,13.92,5.16,Speech,HAPPY,你人不懂事，不要快追，月亮月亮月亮月亮月饼月饼。😊
19,src_04,18.34,1.52,Speech,-,我我饿了。
20,src_09,19.28,1.78,Speech,-,你。
21,src_01,3.96,1.02,Speech,-,今天的脊重。
22,src_01,1.98,1.64,Speech,HAPPY,真的很酷酷。😊
23,src_01,11.74,3.12,Speech,HAPPY,我要减肥肥，我要变瘦瘦。😊
24,src_02,8.64,1.50,Speech,HAPPY,一边来听吗。😊
25,src_03,0.12,2.80,Speech,SURPRISED,嗯，森林下的雪。😮
26,src_03,18.44,2.58,Speech,-,哇，小气。
27,src_03,21.14,2.52,Speech,HAPPY,该喝药了，快快融化。😊
28,src_05,7.92,1.04,Speech,HAPPY,哎。😊
29,src_02,10.34,11.00,Speech,HAPPY,눈을 우유 한 잔 생각하세요 우리 가족의 건강을 우유 먹고 지켜내세요.😊
30,src_04,9.54,1.68,Speech,ANGRY,你搬的好凶呀。😡
31,src_06,6.34,2.62,Speech,-,啊，你蜂。
32,src_06,11.84,1.58,Speech,-,啊嗯嗯。
33,src_08,0.12,2.30,Speech,-,小鸡弯弯的月亮像。
34,src_08,21.28,1.58,Speech,NEUTRAL,后羿射的是月亮。
35,src_09,8.34,1.40,Speech,ANGRY,不就一个蛋吗。😡
36,src_04,4.44,1.24,Speech,ANGRY,调皮鬼。😡
37,src_04,0.32,4.04,Speech,HAPPY,啊啊什么鬼啊。😊
38,src_05,3.54,2.18,Speech,ANGRY,小七，你给我做的。😡
39,src_05,18.12,2.18,Speech,ANGRY,我给你换个大罐儿嗯。😡
40,src_06,10.84,1.00,Speech,-,哇。
41,src_07,21.92,1.04,Speech,ANGRY,你是奶牛。😡
42,src_08,26.08,1.98,Speech,ANGRY,你等着被抓住吧。😡
43,src_01,0.14,1.60,Speech,-,我就大肚嘟。
44,src_01,5.04,1.66,Speech,ANGRY,依旧那么稳定呢。😡
45,src_01,8.86,2.00,Speech,ANGRY,那是因为只能撑到呢。😡
46,src_05,0.10,2.46,Speech,-,嘿嘿收工。
47,src_05,5.72,2.10,Speech,ANGRY,怎么跟没血染一样啊？😡
48,src_05,15.26,2.00,Speech,-,你就去哦嗯嗯。
49,src_07,3.18,1.06,Speech,ANGRY,你会不合？😡
50,src_05,14.34,0.92,Speech,-,小鸡。
51,src_09,5.40,2.80,Speech,ANGRY,还不是你偷了他的蛋，真小俊。😡
52,src_04,21.14,1.54,Speech,ANGRY,他竟然不吃棒棒糖。😡
53,src_06,14.22,8.00,Speech,ANGRY,还好没超过3秒呃，我刚刚出的三水一听就被你吃了，不吃不就浪费了呢。😡
54,src_07,15.52,0.96,Speech,ANGRY,我有办法。😡
55,src_05,9.02,2.18,Speech,ANGRY,这个色儿好看，换你给我拔罐。😡
56,src_03,5.82,1.52,Speech,ANGRY,你怎么被冻住了？😡
57,src_04,8.06,1.44,Speech,-,啊。
58,src_08,2.42,5.34,Speech,SURPRISED,什么呀啊这月亮会被割耳朵的。切，怎么可能？😮
59,src_06,2.10,2.34,Speech,HAPPY,看我干啥嗯。😊
60,src_09,2.12,3.22,Speech,SURPRISED,小珍猪精啊，怎么这么凶啊？😮
61,src_09,13.74,2.56,Speech,-,警位回死。
62,src_01,14.96,2.62,Speech,ANGRY,小狗把小鸡给我架起来。😡
63,src_09,0.06,2.06,Cry,-,😭啊。
64,src_03,23.80,2.32,Speech,SURPRISED,哇哦，再见再见。😮
65,src_05,22.58,5.34,Speech,SURPRISED,小鸡夺不夺金儿夺不夺金儿嗯，得劲儿。😮
66,src_07,0.20,2.70,Speech,ANGRY,我是奶龙，我这是奶龙。😡
67,src_07,13.06,2.20,Speech,ANGRY,可恶，你居然都会。😡
68,src_09,22.10,1.18,Speech,-,别哭了。
69,src_09,23.28,1.46,Speech,ANGRY,都都变形了。😡
70,src_03,40.24,2.02,Speech,HAPPY,啊我要弄个。😊
71,src_05,27.92,1.08,Speech,ANGRY,怎么这么。😡
72,src_06,22.36,1.70,Speech,-,嗯，哎呀。
73,src_07,8.12,2.44,Speech,-,我还会变身呢。
74,src_03,27.28,1.58,Speech,HAPPY,就可以开心的玩了。😊
75,src_03,16.42,1.58,Speech,-,熊来啦。
76,src_05,29.02,2.74,Speech,HAPPY,得劲儿嘿。😊
77,src_03,31.08,1.36,Speech,ANGRY,气拳王万分。😡
78,src_03,32.66,7.52,Speech,HAPPY,动快快去救救我去救救我奶飞啊。😊
79,src_03,42.26,2.16,Speech,-,豆豆。
80,src_08,29.10,2.18,Speech,HAPPY,哎呀哎呀。😊
81,src_10,0.04,4.20,BGM,HAPPY,🎼春天在哪里呀？春天在哪里啊？😊
82,src_10,4.26,3.02,Speech,HAPPY,前面就到了哇。😊
83,src_10,7.28,1.08,Speech,-,小鸡。
84,src_10,8.38,0.96,Speech,ANGRY,你闻到了吗？😡
85,src_10,10.42,1.66,Speech,-,春天的味道。
86,src_10,13.54,3.40,Speech,ANGRY,是酸酸甜甜的味道，我看你是饿了吧。😡
87,src_10,16.94,0.96,Speech,-,是呀。
88,src_10,18.04,6.58,Speech,HAPPY,嗯可是这里哪有吃的哎，上饿了么搜奶龙领爆红包就可以买到各种新品哦。😊
89,src_10,24.86,6.72,Speech,ANGRY,1.5折起，还有领券点优惠。这安慕希酸奶水进环冰淇淋都是新口味呢。😡
90,src_10,31.84,5.60,Speech,ANGRY,啊呜呜呜呜呜小宝，你对我真好，那是他点的。😡
91,src_10,38.10,1.68,Speech,ANGRY,那也不点多点啊。😡
92,src_10,40.30,6.01,Speech,HAPPY,驱蚊类，哎呀，我可真是个大乐虫啊。😊
93,src_11,0.96,1.60,Speech,-,哎呦miss。
94,src_11,3.18,1.74,Speech,HAPPY,这姐就不要题。😊
95,src_11,4.92,5.48,Speech,HAPPY,我你这一再看他你不胖都不平嗯。😊
96,src_11,10.88,1.56,Speech,-,去我没。
97,src_11,12.48,0.94,Speech,-,醉呃。
98,src_11,14.08,1.96,Laughter,HAPPY,😀喂喂喂。😊
99,src_11,17.30,5.12,Speech,HAPPY,他说咬洗你我的。😊
100,src_11,25.20,2.70,Speech,-,啊狗一就掉狗铃身。
101,src_11,28.84,2.92,Speech,-,啊啊，他去叫人了怎么办啊？
102,src_11,32.24,2.66,Speech,HAPPY,我有办法照片。😊
103,src_11,34.92,1.98,Speech,NEUTRAL,就是呗。
104,src_11,37.98,1.86,Speech,ANGRY,这样他就认不出我们了。😡
105,src_11,39.92,1.70,Speech,-,啊。
106,src_11,41.64,1.82,Speech,ANGRY,他又说啥，你猜。😡
107,src_12,0.10,1.42,Speech,HAPPY,这是。😊
108,src_12,2.80,1.98,Speech,NEUTRAL,你掉的是这个金戒具。
109,src_12,5.66,1.46,Speech,ANGRY,这句都不是。😡
110,src_12,7.12,2.80,Speech,-,嗯，你真诚实啊。
111,src_12,10.20,2.18,Speech,ANGRY,那我拿这两个跟你换吧。😡
112,src_12,12.94,4.24,Speech,HAPPY,大到一个月应该能换这个钻戒了吧。对。😊
113,src_12,17.20,1.34,Speech,ANGRY,给你对意喏。😡
114,src_12,18.58,3.26,Speech,ANGRY,这是无价的。嗯嗯，你不要禁止不去吃吸。😡
115,src_12,22.72,3.58,Speech,HAPPY,啊祝你们幸福，。哎呦我的妈。😊
116,src_13,0.52,1.72,Speech,HAPPY,哼嗯哼哎。😊
117,src_13,2.50,1.74,Laughter,HAPPY,😀哼哈哈哼。😊
118,src_13,5.10,1.22,Speech,-,这。
119,src_13,7.06,3.02,Speech,HAPPY,老龙蓝龙。😊
120,src_13,11.70,2.94,Speech,ANGRY,肚子好重，你先听我说。😡
121,src_13,15.90,1.60,Speech,SAD,我时间不多了。😔
122,src_13,17.50,1.24,Speech,SAD,我很怀念。😔
123,src_13,20.02,1.28,Speech,SAD,吃的蛋糕。😔
124,src_13,21.92,2.26,Speech,HAPPY,嗯嗯嗯。😊
125,src_13,24.18,4.12,Speech,HAPPY,这时候我哪有心情吃蛋糕啊。😊
126,src_13,28.38,4.68,Speech,ANGRY,是我去，不是你去。😡
127,src_14,2.24,5.18,Speech,HAPPY,我我滚我滚啊。😊
128,src_14,7.50,1.18,Speech,-,走嗯。
129,src_14,8.72,1.46,Speech,ANGRY,神我毒。😡
130,src_14,10.18,1.66,Speech,-,我过来。
131,src_14,13.06,3.98,Speech,NEUTRAL,当时那根距离我的人路只有0.01公分。
132,src_14,17.22,8.40,Speech,ANGRY,但几秒钟之后，你再磨及他们就要把我抓走了。耶，我小七两只小狗呀。😡
133,src_14,25.90,2.20,Speech,NEUTRAL,飞到话筒中。
134,src_14,31.36,0.98,Speech,-,偷袭。
135,src_14,34.64,1.14,Speech,-,呃。
136,src_14,36.20,4.78,Speech,HAPPY,飞呀跳漂跳跳漂跳好呀。😊
137,src_14,43.40,1.56,Speech,ANGRY,非要逼我出手。😡
138,src_14,46.32,1.90,Speech,ANGRY,去到底是谁？😡
139,src_14,48.22,2.50,Speech,ANGRY,下这么狠的毒手。😡
140,src_14,50.84,1.40,Speech,-,都住。
141,src_14,52.30,1.90,Speech,-,时候了，你还担心我。
142,src_14,54.20,1.48,Speech,-,嗯嗯。
143,src_14,55.72,1.10,Speech,-,哎。
144,src_15,0.12,1.04,Speech,-,哎呦哎呦。
145,src_15,1.56,1.00,Speech,ANGRY,加有哈。😡
146,src_15,2.66,1.42,Speech,ANGRY,你一根那我一根。😡
147,src_15,4.22,1.34,Speech,ANGRY,你一跟呢我一跟。😡
148,src_15,6.50,6.32,Speech,ANGRY,小七辛苦了，不先火灭火。小七，你有一根盖觉比我的长诶。😡
149,src_15,13.60,1.22,Speech,ANGRY,明明差不多嘛。😡
150,src_15,15.56,1.24,Speech,-,嗯，看吧。
151,src_15,16.82,1.52,Speech,ANGRY,我的眼睛就是池。😡
152,src_15,18.42,1.56,Speech,ANGRY,这个长的给你吧。😡
153,src_15,19.98,1.48,Speech,-,奶龙真好。
154,src_15,21.74,2.94,Speech,HAPPY,啊啊这这这这这这这。😊
155,src_15,24.88,2.12,Speech,ANGRY,小七，你们跟强队。😡
156,src_15,27.00,6.64,BGM,HAPPY,🎼再分我一半吧，滚。😊
157,src_16,0.04,1.74,BGM,-,🎼摇曳的步伐。
158,src_16,2.14,2.70,Speech,HAPPY,快乐这个。😊
159,src_16,5.06,1.24,Speech,-,Surprise.
160,src_16,6.60,1.96,Speech,HAPPY,嗯，嘿嘿。😊
161,src_16,8.58,2.74,Speech,ANGRY,小七，你该不会偷吃火龙果了吧。😡
162,src_16,11.40,1.68,Speech,-,光嗯哪有。
163,src_16,13.32,1.66,Speech,ANGRY,我对火龙果过敏。😡
164,src_16,15.06,2.82,Speech,HAPPY,呃，对了，我去旅游玩的开心嗯。😊
165,src_16,17.94,1.52,Speech,ANGRY,就知道你感兴趣。😡
166,src_16,20.32,2.32,Speech,SURPRISED,都存在手机里了啊。😮
167,src_16,24.08,1.88,Speech,-,啊啊。
168,src_16,27.82,1.54,Speech,ANGRY,照片看不了了。😡
169,src_16,29.36,3.24,Speech,ANGRY,还好我位于臭猫，打开你的手机。😡
170,src_16,32.76,2.68,Speech,HAPPY,在我们的家庭分组里就能看哦。😊
171,src_16,37.62,0.98,Speech,ANGRY,给我看下。😡
172,src_16,38.62,1.66,Speech,-,啊，不可以吗。
173,src_16,40.36,6.00,Speech,HAPPY,哎哎呀。😊
174,src_17,0.04,1.16,Speech,HAPPY,呃，悠呦。😊
175,src_17,2.16,3.38,Speech,ANGRY,蜗牛好久没见了，是不是要庆祝一下？😡
176,src_17,8.26,1.52,Speech,ANGRY,什么你到村长了。😡
177,src_17,9.78,5.26,Speech,ANGRY,赶紧庆祝一下，你有本事天天可以当村长啊。😡
178,src_17,15.04,2.30,Speech,ANGRY,可快就来针。😡
179,src_17,17.74,2.54,Speech,ANGRY,哦，你看graulation。😡
180,src_17,21.28,4.10,BGM,HAPPY,🎼我一定会回来。😊
181,src_18,1.96,1.56,Speech,HAPPY,哼嘿好。😊
182,src_18,4.38,0.96,Speech,-,啊。
183,src_18,5.58,1.72,Speech,ANGRY,奶龙，要不算了吧。😡
184,src_18,8.12,2.34,Speech,ANGRY,我还有一只书，嘿。😡
185,src_18,12.48,2.26,Speech,HAPPY,哎呦这哦。😊
186,src_18,14.96,2.66,Speech,ANGRY,现在没手了哦哎喂这。😡
187,src_18,17.64,2.04,Speech,ANGRY,花石头肉吃好吃又好玩的。😡
188,src_18,20.48,1.00,Speech,ANGRY,老龙别理他。😡
189,src_18,22.10,0.94,Speech,-,小区。
190,src_18,23.06,3.42,Speech,ANGRY,这妙脆角看起来好好吃哦，吃不了。😡
191,src_18,27.30,1.04,Speech,ANGRY,谁说的。😡
192,src_18,29.74,5.36,Speech,HAPPY,为我幼稚抱抱龙，我们走。😊
193,src_18,36.24,1.70,Speech,SAD,没有你们我也能去。😔
194,src_18,41.68,2.18,Speech,-,哦，牛命。
195,src_18,44.82,1.06,Speech,-,这这这。
196,src_18,46.12,3.14,Speech,HAPPY,那有你没事吗？哎呀呀别碰。😊
197,src_18,49.36,0.98,Speech,-,呃，对了。
198,src_18,50.98,3.54,Speech,-,这下好了，真的喂你了。
199,src_18,55.66,0.96,Speech,ANGRY,臭味成功。😡
200,src_18,57.52,1.57,Speech,ANGRY,一起参遇投喂挑战。😡
201,src_19,0.10,1.76,Speech,ANGRY,你先走，我等号。😡
202,src_19,3.72,3.20,Speech,HAPPY,鱼蚣。😊
203,src_19,7.04,3.54,Speech,HAPPY,啊啊完蛋了，他又使用死亡方管了呃。😊
204,src_19,10.58,4.18,Speech,ANGRY,我有办法，我反方向旋转，拧断他的头就好了。😡
205,src_19,14.94,1.48,Speech,-,啊呜。
206,src_19,16.82,1.08,BGM,-,🎼不娘。
207,src_20,0.04,0.98,Speech,-,不不不不不不。
208,src_20,1.86,1.90,Speech,ANGRY,我给你套个小可爱。😡
209,src_20,5.88,1.46,Speech,-,嘻嘻。
210,src_20,8.74,9.96,BGM,HAPPY,🎼霸霸王龙诶，不会是恐龙最后一日纪录片里的霸王龙爸爸吧。是啊啊。😊
211,src_20,19.56,1.86,Speech,-,啊。
212,src_20,21.66,4.94,Speech,HAPPY,放开来了哇，哎呀爸嗯。😊
213,src_20,26.62,0.93,Speech,-,哎呦，我的妈。
214,src_21,0.42,1.36,Speech,ANGRY,长下我做的含笑。😡
215,src_21,2.92,7.36,Laughter,HAPPY,😀。😊
216,src_21,10.28,6.27,Cry,HAPPY,😭。😊
217,src_22,0.06,2.42,Speech,ANGRY,看这样就会没命的。😡
218,src_22,2.56,0.98,Speech,-,在。
219,src_22,3.54,1.08,Speech,-,是。
220,src_22,7.12,2.12,Speech,ANGRY,小区，你在哪？😡
221,src_22,10.36,2.02,Speech,ANGRY,喂，你的墨镜挺不错的嘛。😡
222,src_22,13.10,7.00,BGM,HAPPY,🎼这位平头的哥哥真喜欢他一样就会没命的。😊
223,src_23,0.04,2.94,Speech,-,不姐姐姐。
224,src_23,5.18,4.18,Speech,ANGRY,小七，这次干紧往哪儿逃。😡
