idx,src,t0,t1,dur
1,src_06,4.52,5.62,1.22
2,src_01,22.92,26.32,3.52
3,src_03,12.58,14.44,1.98
4,src_09,17.44,18.24,0.92
5,src_08,11.30,13.04,1.86
6,src_04,11.94,16.76,4.94
7,src_06,29.04,30.76,1.84
8,src_07,17.18,21.14,4.08
9,src_03,7.52,11.80,4.40
10,src_09,9.74,11.14,1.52
11,src_08,22.90,24.10,1.32
12,src_06,24.88,27.28,2.52
13,src_03,2.92,5.62,2.82
14,src_02,6.88,8.00,1.24
15,src_07,23.98,25.60,1.74
16,src_03,44.76,45.64,1.00
17,src_07,10.74,12.74,2.12
18,src_08,13.92,18.96,5.16
19,src_04,18.34,19.74,1.52
20,src_09,19.28,20.94,1.78
21,src_01,3.96,4.86,1.02
22,src_01,1.98,3.50,1.64
23,src_01,11.74,14.74,3.12
24,src_02,8.64,10.02,1.50
25,src_03,0.12,2.80,2.80
26,src_03,18.44,20.90,2.58
27,src_03,21.14,23.54,2.52
28,src_05,7.92,8.84,1.04
29,src_02,10.34,21.22,11.00
30,src_04,9.54,11.10,1.68
31,src_06,6.34,8.84,2.62
32,src_06,11.84,13.30,1.58
33,src_08,0.12,2.30,2.30
34,src_08,21.28,22.74,1.58
35,src_09,8.34,9.62,1.40
36,src_04,4.44,5.56,1.24
37,src_04,0.32,4.24,4.04
38,src_05,3.54,5.60,2.18
39,src_05,18.12,20.18,2.18
40,src_06,10.84,11.72,1.00
41,src_07,21.92,22.84,1.04
42,src_08,26.08,27.94,1.98
43,src_01,0.14,1.62,1.60
44,src_01,5.04,6.58,1.66
45,src_01,8.86,10.74,2.00
46,src_05,0.10,2.44,2.46
47,src_05,5.72,7.70,2.10
48,src_05,15.26,17.14,2.00
49,src_07,3.18,4.12,1.06
50,src_05,14.34,15.14,0.92
51,src_09,5.40,8.08,2.80
52,src_04,21.14,22.56,1.54
53,src_06,14.22,22.10,8.00
54,src_07,15.52,16.36,0.96
55,src_05,9.02,11.08,2.18
56,src_03,5.82,7.22,1.52
57,src_04,8.06,9.38,1.44
58,src_08,2.42,7.64,5.34
59,src_06,2.10,4.32,2.34
60,src_09,2.12,5.22,3.22
61,src_09,13.74,16.18,2.56
62,src_01,14.96,17.46,2.62
63,src_09,0.06,2.00,2.06
64,src_03,23.80,26.00,2.32
65,src_05,22.58,27.80,5.34
66,src_07,0.20,2.78,2.70
67,src_07,13.06,15.14,2.20
68,src_09,22.10,23.16,1.18
69,src_09,23.28,24.62,1.46
70,src_03,40.24,42.14,2.02
71,src_05,27.92,28.88,1.08
72,src_06,22.36,23.94,1.70
73,src_07,8.12,10.44,2.44
74,src_03,27.28,28.74,1.58
75,src_03,16.42,17.88,1.58
76,src_05,29.02,31.64,2.74
77,src_03,31.08,32.32,1.36
78,src_03,32.66,40.06,7.52
79,src_03,42.26,44.30,2.16
80,src_08,29.10,31.16,2.18
81,src_10,0.04,4.14,4.20
82,src_10,4.26,7.16,3.02
83,src_10,7.28,8.24,1.08
84,src_10,8.38,9.22,0.96
85,src_10,10.42,11.96,1.66
86,src_10,13.54,16.82,3.40
87,src_10,16.94,17.78,0.96
88,src_10,18.04,24.50,6.58
89,src_10,24.86,31.46,6.72
90,src_10,31.84,37.32,5.60
91,src_10,38.10,39.66,1.68
92,src_10,40.30,46.20,6.01
93,src_11,0.96,2.44,1.60
94,src_11,3.18,4.80,1.74
95,src_11,4.92,10.28,5.48
96,src_11,10.88,12.32,1.56
97,src_11,12.48,13.30,0.94
98,src_11,14.08,15.92,1.96
99,src_11,17.30,22.30,5.12
100,src_11,25.20,27.78,2.70
101,src_11,28.84,31.64,2.92
102,src_11,32.24,34.78,2.66
103,src_11,34.92,36.78,1.98
104,src_11,37.98,39.72,1.86
105,src_11,39.92,41.50,1.70
106,src_11,41.64,43.34,1.82
107,src_12,0.10,1.40,1.42
108,src_12,2.80,4.66,1.98
109,src_12,5.66,7.00,1.46
110,src_12,7.12,9.80,2.80
111,src_12,10.20,12.26,2.18
112,src_12,12.94,17.06,4.24
113,src_12,17.20,18.42,1.34
114,src_12,18.58,21.72,3.26
115,src_12,22.72,26.20,3.58
116,src_13,0.52,2.12,1.72
117,src_13,2.50,4.12,1.74
118,src_13,5.10,6.20,1.22
119,src_13,7.06,9.96,3.02
120,src_13,11.70,14.52,2.94
