idx,src,t0,dur,sim_pos,sim_neg,margin
13,src_03,2.92,2.82,0.7509,0.1523,0.5986
56,src_03,5.82,1.52,0.7197,0.1518,0.5679
25,src_03,0.12,2.80,0.7386,0.1774,0.5613
58,src_08,2.42,5.34,0.7910,0.2306,0.5604
62,src_01,14.96,2.62,0.6845,0.1309,0.5536
23,src_01,11.74,3.12,0.7451,0.1934,0.5517
5,src_08,11.30,1.86,0.6236,0.0740,0.5496
52,src_04,21.14,1.54,0.7329,0.1980,0.5350
30,src_04,9.54,1.68,0.7477,0.2132,0.5345
33,src_08,0.12,2.30,0.6854,0.1558,0.5296
26,src_03,18.44,2.58,0.6925,0.1635,0.5291
43,src_01,0.14,1.60,0.6381,0.1218,0.5163
6,src_04,11.94,4.94,0.7655,0.2505,0.5150
38,src_05,3.54,2.18,0.6219,0.1083,0.5136
69,src_09,23.28,1.46,0.7146,0.2034,0.5113
47,src_05,5.72,2.10,0.7260,0.2234,0.5026
45,src_01,8.86,2.00,0.7502,0.2600,0.4902
12,src_06,24.88,2.52,0.6560,0.1662,0.4898
44,src_01,5.04,1.66,0.6724,0.1867,0.4857
18,src_08,13.92,5.16,0.7232,0.2392,0.4840
39,src_05,18.12,2.18,0.7223,0.2400,0.4823
34,src_08,21.28,1.58,0.5604,0.0799,0.4805
22,src_01,1.98,1.64,0.6312,0.1517,0.4794
53,src_06,14.22,8.00,0.7987,0.3279,0.4708
21,src_01,3.96,1.02,0.6134,0.1458,0.4676
42,src_08,26.08,1.98,0.7053,0.2504,0.4550
66,src_07,0.20,2.70,0.7068,0.2539,0.4529
65,src_05,22.58,5.34,0.7801,0.3406,0.4395
15,src_07,23.98,1.74,0.6337,0.2019,0.4318
50,src_05,14.34,0.92,0.6588,0.2302,0.4287
55,src_05,9.02,2.18,0.6169,0.1884,0.4285
36,src_04,4.44,1.24,0.6285,0.2037,0.4248
48,src_05,15.26,2.00,0.8021,0.3907,0.4114
8,src_07,17.18,4.08,0.7172,0.3071,0.4100
11,src_08,22.90,1.32,0.5856,0.1801,0.4055
51,src_09,5.40,2.80,0.7971,0.3963,0.4008
74,src_03,27.28,1.58,0.5565,0.1662,0.3903
46,src_05,0.10,2.46,0.7044,0.3207,0.3837
60,src_09,2.12,3.22,0.7122,0.3319,0.3803
67,src_07,13.06,2.20,0.6793,0.3012,0.3781
10,src_09,9.74,1.52,0.6608,0.2849,0.3759
41,src_07,21.92,1.04,0.5954,0.2218,0.3736
73,src_07,8.12,2.44,0.6859,0.3139,0.3720
2,src_01,22.92,3.52,0.5606,0.1906,0.3700
57,src_04,8.06,1.44,0.5031,0.1378,0.3653
35,src_09,8.34,1.40,0.6441,0.2796,0.3645
27,src_03,21.14,2.52,0.6329,0.2685,0.3643
61,src_09,13.74,2.56,0.6575,0.3007,0.3568
70,src_03,40.24,2.02,0.6230,0.2705,0.3525
68,src_09,22.10,1.18,0.4917,0.1538,0.3379
64,src_03,23.80,2.32,0.6915,0.3660,0.3255
49,src_07,3.18,1.06,0.5428,0.2205,0.3223
78,src_03,32.66,7.52,0.6841,0.3783,0.3058
32,src_06,11.84,1.58,0.5497,0.2490,0.3007
17,src_07,10.74,2.12,0.4050,0.1248,0.2802
9,src_03,7.52,4.40,0.5911,0.3251,0.2660
76,src_05,29.02,2.74,0.5629,0.3015,0.2614
77,src_03,31.08,1.36,0.5727,0.3231,0.2496
40,src_06,10.84,1.00,0.4998,0.2651,0.2347
28,src_05,7.92,1.04,0.4732,0.2419,0.2313
71,src_05,27.92,1.08,0.5832,0.3543,0.2289
3,src_03,12.58,1.98,0.5357,0.3254,0.2104
37,src_04,0.32,4.04,0.5284,0.3371,0.1914
72,src_06,22.36,1.70,0.5255,0.3356,0.1899
54,src_07,15.52,0.96,0.4865,0.3420,0.1445
7,src_06,29.04,1.84,0.3720,0.2483,0.1237
4,src_09,17.44,0.92,0.3072,0.1951,0.1121
19,src_04,18.34,1.52,0.4648,0.3621,0.1026
80,src_08,29.10,2.18,0.4497,0.3626,0.0871
63,src_09,0.06,2.06,0.2652,0.1929,0.0722
20,src_09,19.28,1.78,0.3751,0.3095,0.0655
31,src_06,6.34,2.62,0.4788,0.4143,0.0645
79,src_03,42.26,2.16,0.5729,0.5365,0.0363
75,src_03,16.42,1.58,0.4775,0.4467,0.0308
59,src_06,2.10,2.34,0.5547,0.5387,0.0161
16,src_03,44.76,1.00,0.2288,0.2212,0.0076
29,src_02,10.34,11.00,0.3275,0.3275,0.0000
24,src_02,8.64,1.50,0.2835,0.2835,0.0000
14,src_02,6.88,1.24,0.2852,0.2852,0.0000
1,src_06,4.52,1.22,0.0262,0.1822,-0.1560
