idx,src,t0,dur,simA,simB,margin,group
13,src_03,2.92,2.82,0.8350,0.2876,0.5473,A
12,src_06,24.88,2.52,0.8007,0.3001,0.5007,A
47,src_05,5.72,2.10,0.8401,0.3556,0.4844,A
34,src_08,21.28,1.58,0.7400,0.2577,0.4823,A
15,src_07,23.98,1.74,0.7878,0.3071,0.4807,A
56,src_03,5.82,1.52,0.8509,0.3727,0.4782,A
33,src_08,0.12,2.30,0.7999,0.3218,0.4781,A
18,src_08,13.92,5.16,0.8470,0.3729,0.4741,A
23,src_01,11.74,3.12,0.8681,0.3986,0.4695,A
21,src_01,3.96,1.02,0.7720,0.3123,0.4597,A
38,src_05,3.54,2.18,0.8147,0.3574,0.4573,A
44,src_01,5.04,1.66,0.8351,0.3937,0.4415,A
69,src_09,23.28,1.46,0.8380,0.4165,0.4215,A
25,src_03,0.12,2.80,0.8107,0.3923,0.4185,A
30,src_04,9.54,1.68,0.7749,0.3641,0.4109,A
43,src_01,0.14,1.60,0.8100,0.4003,0.4097,A
39,src_05,18.12,2.18,0.8013,0.3950,0.4063,A
41,src_07,21.92,1.04,0.7481,0.3502,0.3979,A
66,src_07,0.20,2.70,0.8184,0.4264,0.3920,A
62,src_01,14.96,2.62,0.7545,0.3637,0.3908,A
11,src_08,22.90,1.32,0.7539,0.3678,0.3861,A
22,src_01,1.98,1.64,0.7895,0.4148,0.3746,A
5,src_08,11.30,1.86,0.6409,0.2684,0.3725,A
52,src_04,21.14,1.54,0.8216,0.4641,0.3575,A
53,src_06,14.22,8.00,0.7588,0.4138,0.3450,A
42,src_08,26.08,1.98,0.8165,0.4743,0.3423,A
58,src_08,2.42,5.34,0.7543,0.4177,0.3366,A
67,src_07,13.06,2.20,0.7632,0.4502,0.3130,A
35,src_09,8.34,1.40,0.7556,0.4595,0.2960,A
26,src_03,18.44,2.58,0.7566,0.4667,0.2899,A
45,src_01,8.86,2.00,0.7256,0.4382,0.2875,A
60,src_09,2.12,3.22,0.7720,0.4863,0.2857,A
36,src_04,4.44,1.24,0.7268,0.4429,0.2839,A
10,src_09,9.74,1.52,0.5999,0.3300,0.2698,A
50,src_05,14.34,0.92,0.7643,0.5026,0.2617,A
6,src_04,11.94,4.94,0.6283,0.3923,0.2361,A
2,src_01,22.92,3.52,0.4638,0.2388,0.2250,A
55,src_05,9.02,2.18,0.5403,0.3321,0.2081,A
65,src_05,22.58,5.34,0.7050,0.5043,0.2007,A
27,src_03,21.14,2.52,0.6567,0.4699,0.1868,A
48,src_05,15.26,2.00,0.7513,0.5748,0.1765,A
73,src_07,8.12,2.44,0.6998,0.5255,0.1743,A
51,src_09,5.40,2.80,0.6965,0.5353,0.1612,A
70,src_03,40.24,2.02,0.6472,0.4917,0.1555,A
68,src_09,22.10,1.18,0.5780,0.4472,0.1308,A
8,src_07,17.18,4.08,0.5854,0.4557,0.1297,A
64,src_03,23.80,2.32,0.6893,0.5648,0.1246,A
74,src_03,27.28,1.58,0.5124,0.4109,0.1015,A
61,src_09,13.74,2.56,0.6672,0.5680,0.0992,A
71,src_05,27.92,1.08,0.5756,0.5194,0.0562,A
49,src_07,3.18,1.06,0.5943,0.5439,0.0504,A
9,src_03,7.52,4.40,0.5306,0.4862,0.0444,A
57,src_04,8.06,1.44,0.5215,0.4861,0.0353,A
46,src_05,0.10,2.46,0.6127,0.5867,0.0259,A
54,src_07,15.52,0.96,0.4848,0.4894,-0.0046,B
4,src_09,17.44,0.92,0.3770,0.3871,-0.0102,B
32,src_06,11.84,1.58,0.5520,0.5818,-0.0298,B
76,src_05,29.02,2.74,0.5140,0.5565,-0.0425,B
3,src_03,12.58,1.98,0.5178,0.5768,-0.0590,B
40,src_06,10.84,1.00,0.5429,0.6047,-0.0618,B
59,src_06,2.10,2.34,0.5401,0.6034,-0.0633,B
77,src_03,31.08,1.36,0.5347,0.6170,-0.0822,B
78,src_03,32.66,7.52,0.6156,0.7115,-0.0959,B
7,src_06,29.04,1.84,0.3331,0.4384,-0.1053,B
28,src_05,7.92,1.04,0.4487,0.5680,-0.1193,B
75,src_03,16.42,1.58,0.4145,0.5459,-0.1314,B
79,src_03,42.26,2.16,0.4843,0.6676,-0.1833,B
72,src_06,22.36,1.70,0.4254,0.6679,-0.2424,B
17,src_07,10.74,2.12,0.3679,0.6214,-0.2535,B
19,src_04,18.34,1.52,0.4212,0.6876,-0.2665,B
37,src_04,0.32,4.04,0.4007,0.6729,-0.2721,B
20,src_09,19.28,1.78,0.3521,0.6677,-0.3156,B
31,src_06,6.34,2.62,0.3821,0.7182,-0.3361,B
29,src_02,10.34,11.00,0.2152,0.5980,-0.3828,B
16,src_03,44.76,1.00,0.2028,0.5857,-0.3829,B
80,src_08,29.10,2.18,0.3998,0.8003,-0.4006,B
14,src_02,6.88,1.24,0.2090,0.6119,-0.4029,B
24,src_02,8.64,1.50,0.2274,0.6537,-0.4263,B
63,src_09,0.06,2.06,0.2608,0.6939,-0.4331,B
1,src_06,4.52,1.22,0.0148,0.4665,-0.4517,B
