idx,label,class,confidence,src,t0,t1,evidence_bvid,alignment_offset_s,note
2,0,other_speaker,high,src_01,22.92,26.44,BV1es4y1771A,-7.079,小七对白
3,0,other_speaker,high,src_03,12.58,14.56,BV1CM4y127Wn,-5.200,小七对白
6,1,target,high,src_04,11.94,16.88,BV1H24y1j7ev,-5.027,奶龙对白
9,0,other_speaker,high,src_03,7.52,11.92,BV1CM4y127Wn,-5.200,小七对白
19,1,target,medium,src_04,18.34,19.86,BV1H24y1j7ev,-5.027,奶龙短句
23,1,target,high,src_01,11.74,14.86,BV1es4y1771A,-7.079,奶龙开心语气
28,0,other_speaker,high,src_05,7.92,8.96,BV1JT411a7Tv,0.089,小七语气词
29,0,non_speech,high,src_02,10.34,21.34,BV1wL411D7z6,-5.787,韩语歌曲和舞蹈无角色对白
30,0,other_speaker,high,src_04,9.54,11.22,BV1H24y1j7ev,-5.027,小七对白
31,1,target,medium,src_06,6.34,8.96,BV11N41167GG,-4.069,奶龙短句
32,1,target,medium,src_06,11.84,13.42,BV11N41167GG,-4.069,奶龙语气词
38,1,target,high,src_05,3.54,5.72,BV1JT411a7Tv,0.089,奶龙生气语气
39,1,target,high,src_05,18.12,20.30,BV1JT411a7Tv,0.089,奶龙生气语气
45,1,target,high,src_01,8.86,10.86,BV1es4y1771A,-7.079,奶龙对白
46,0,other_speaker,high,src_05,0.10,2.56,BV1JT411a7Tv,0.089,小七对白
47,1,target,high,src_05,5.72,7.82,BV1JT411a7Tv,0.089,奶龙生气语气
52,1,target,high,src_04,21.14,22.68,BV1H24y1j7ev,-5.027,奶龙对白
53,1,target,high,src_06,14.22,22.22,BV11N41167GG,-4.069,奶龙连续对白
55,0,other_speaker,high,src_05,9.02,11.20,BV1JT411a7Tv,0.089,小七对白
62,1,target,high,src_01,14.96,17.58,BV1es4y1771A,-7.079,奶龙生气语气
65,1,target,high,src_05,22.58,27.92,BV1JT411a7Tv,0.089,奶龙惊讶语气
72,1,target,medium,src_06,22.36,24.06,BV11N41167GG,-4.069,奶龙受力语气词
